Country,Year,AverageTemperatureRolling,AverageTemperatureUncertaintyRolling
Afghanistan,1860,13.565166666666666,2.2417583333333333
Afghanistan,1861,13.531575,2.2643166666666668
Afghanistan,1862,13.470991666666666,2.2703166666666665
Afghanistan,1863,13.489308333333332,2.2914916666666665
Afghanistan,1864,13.446299999999999,2.3056083333333333
Afghanistan,1865,13.402991666666669,2.295258333333334
Afghanistan,1866,13.398308333333336,2.295891666666667
Afghanistan,1867,13.488383333333331,2.294975
Afghanistan,1868,13.491316666666666,2.297125
Afghanistan,1869,13.477966666666665,2.2952583333333334
Afghanistan,1870,13.517441666666667,2.295166666666667
Afghanistan,1871,13.553566666666669,2.2953
Afghanistan,1872,13.648308333333336,2.297425
Afghanistan,1873,13.684000000000001,2.2888333333333337
Afghanistan,1874,13.755491666666668,2.2802583333333333
Afghanistan,1875,13.82375,2.2331833333333333
Afghanistan,1876,13.838458333333332,2.151508333333333
Afghanistan,1877,13.812466666666666,2.068625
Afghanistan,1878,13.830858333333333,1.971691666666667
Afghanistan,1879,13.845850000000002,1.8607583333333335
Afghanistan,1880,13.885891666666666,1.7703833333333332
Afghanistan,1881,13.949825,1.6481999999999999
Afghanistan,1882,13.904966666666667,1.5207166666666665
Afghanistan,1883,13.865458333333333,1.3910166666666666
Afghanistan,1884,13.814583333333335,1.2601666666666664
Afghanistan,1885,13.700408333333334,1.1880583333333334
Afghanistan,1886,13.663974999999999,1.1361916666666665
Afghanistan,1887,13.656591666666667,1.0962333333333334
Afghanistan,1888,13.693166666666666,1.0515583333333334
Afghanistan,1889,13.6731,1.0284333333333335
Afghanistan,1890,13.625350000000001,0.9902
Afghanistan,1891,13.522041666666667,0.9713
Afghanistan,1892,13.586225000000002,0.9390416666666667
Afghanistan,1893,13.569816666666668,0.9311666666666667
Afghanistan,1894,13.578308333333334,0.9085000000000001
Afghanistan,1895,13.673325,0.8792833333333334
Afghanistan,1896,13.763141666666666,0.8451083333333334
Afghanistan,1897,13.753975,0.8204666666666667
Afghanistan,1898,13.675816666666668,0.7988583333333333
Afghanistan,1899,13.742666666666668,0.7791666666666667
Afghanistan,1900,13.745375000000001,0.7549666666666667
Afghanistan,1901,13.81105,0.7384416666666667
Afghanistan,1902,13.854033333333334,0.7372833333333333
Afghanistan,1903,13.809000000000001,0.724225
Afghanistan,1904,13.8429,0.7222333333333333
Afghanistan,1905,13.783291666666667,0.7292833333333333
Afghanistan,1906,13.761908333333334,0.732775
Afghanistan,1907,13.742225,0.71505
Afghanistan,1908,13.765983333333335,0.7121833333333333
Afghanistan,1909,13.718941666666666,0.6957333333333333
Afghanistan,1910,13.665658333333335,0.69155
Afghanistan,1911,13.614758333333333,0.6791666666666666
Afghanistan,1912,13.554441666666667,0.6700583333333334
Afghanistan,1913,13.641725000000003,0.6548333333333333
Afghanistan,1914,13.690833333333334,0.6591583333333333
Afghanistan,1915,13.843725000000001,0.6460750000000001
Afghanistan,1916,13.789533333333335,0.6570416666666666
Afghanistan,1917,13.845891666666668,0.6676083333333334
Afghanistan,1918,13.824300000000003,0.669525
Afghanistan,1919,13.819849999999999,0.6863666666666667
Afghanistan,1920,13.801850000000002,0.6965
Afghanistan,1921,13.880508333333333,0.6998
Afghanistan,1922,13.915791666666667,0.6901999999999999
Afghanistan,1923,13.863758333333333,0.6822166666666667
Afghanistan,1924,13.796975,0.6620666666666667
Afghanistan,1925,13.698691666666667,0.6683749999999999
Afghanistan,1926,13.738925,0.66875
Afghanistan,1927,13.731733333333334,0.6510916666666666
Afghanistan,1928,13.746708333333334,0.6398583333333333
Afghanistan,1929,13.706791666666666,0.6237333333333333
Afghanistan,1930,13.7362,0.6096666666666667
Afghanistan,1931,13.663791666666668,0.5929249999999999
Afghanistan,1932,13.604708333333331,0.59045
Afghanistan,1933,13.659108333333332,0.588575
Afghanistan,1934,13.630349999999998,0.5971833333333333
Afghanistan,1935,13.5668,0.5662166666666667
Afghanistan,1936,13.593008333333334,0.5447249999999999
Afghanistan,1937,13.565708333333333,0.5330833333333334
Afghanistan,1938,13.623533333333333,0.5117999999999999
Afghanistan,1939,13.691550000000001,0.4918666666666667
Afghanistan,1940,13.831891666666667,0.4644333333333333
Afghanistan,1941,14.037416666666667,0.4619416666666667
Afghanistan,1942,14.116066666666665,0.4504
Afghanistan,1943,14.098558333333335,0.4386083333333334
Afghanistan,1944,14.193591666666666,0.4179666666666666
Afghanistan,1945,14.250591666666669,0.40853333333333336
Afghanistan,1946,14.30931666666667,0.3982083333333334
Afghanistan,1947,14.455666666666668,0.3972583333333334
Afghanistan,1948,14.468066666666667,0.3959416666666667
Afghanistan,1949,14.386883333333335,0.407475
Afghanistan,1950,14.217833333333335,0.4059666666666667
Afghanistan,1951,14.064333333333332,0.4045416666666667
Afghanistan,1952,14.036758333333333,0.3998666666666667
Afghanistan,1953,14.131050000000002,0.40020833333333333
Afghanistan,1954,14.071008333333333,0.40095000000000003
Afghanistan,1955,14.148641666666668,0.40637500000000004
Afghanistan,1956,14.108283333333333,0.40924166666666667
Afghanistan,1957,13.882491666666667,0.4181166666666666
Afghanistan,1958,13.920641666666665,0.42675833333333335
Afghanistan,1959,14.000891666666666,0.41830833333333334
Afghanistan,1960,14.095083333333335,0.4246666666666667
Afghanistan,1961,14.104800000000001,0.42428333333333335
Afghanistan,1962,14.064125,0.42969166666666664
Afghanistan,1963,14.102391666666668,0.43311666666666665
Afghanistan,1964,14.041749999999999,0.43380833333333335
Afghanistan,1965,13.987675000000001,0.434575
Afghanistan,1966,14.002866666666666,0.42639166666666667
Afghanistan,1967,14.091474999999999,0.4165583333333333
Afghanistan,1968,13.996033333333333,0.41315
Afghanistan,1969,13.961283333333336,0.4119833333333333
Afghanistan,1970,14.041049999999998,0.4055416666666666
Afghanistan,1971,14.116908333333333,0.4043833333333334
Afghanistan,1972,13.994758333333333,0.402875
Afghanistan,1973,13.914966666666666,0.407325
Afghanistan,1974,13.938149999999998,0.39865
Afghanistan,1975,13.882775,0.3983083333333334
Afghanistan,1976,13.819333333333333,0.40646666666666664
Afghanistan,1977,13.93355,0.4140416666666667
Afghanistan,1978,13.990283333333332,0.4164
Afghanistan,1979,14.035983333333334,0.4125249999999999
Afghanistan,1980,14.046408333333332,0.4148666666666666
Afghanistan,1981,14.050066666666666,0.42473333333333335
Afghanistan,1982,14.168658333333335,0.43183333333333335
Afghanistan,1983,14.206591666666668,0.43575833333333336
Afghanistan,1984,14.2995,0.44333333333333336
Afghanistan,1985,14.433566666666668,0.44247500000000006
Afghanistan,1986,14.485024999999998,0.4374166666666667
Afghanistan,1987,14.502883333333335,0.425375
Afghanistan,1988,14.60881666666667,0.42328333333333334
Afghanistan,1989,14.595183333333333,0.4213166666666667
Afghanistan,1990,14.605783333333335,0.41747499999999993
Afghanistan,1991,14.556850000000003,0.41005833333333336
Afghanistan,1992,14.58915,0.41401666666666664
Afghanistan,1993,14.571591666666668,0.4194416666666667
Afghanistan,1994,14.622483333333335,0.41528333333333334
Afghanistan,1995,14.619525000000001,0.41914999999999997
Afghanistan,1996,14.639808333333335,0.4187833333333334
Afghanistan,1997,14.631808333333334,0.4362583333333333
Afghanistan,1998,14.606158333333331,0.4394916666666667
Afghanistan,1999,14.732458333333335,0.45177500000000004
Afghanistan,2000,14.782908333333335,0.46559999999999996
Afghanistan,2001,14.923641666666665,0.4784083333333333
Afghanistan,2002,15.0718,0.47275833333333334
Afghanistan,2003,15.119475,0.46449999999999997
Afghanistan,2004,15.221091666666666,0.47306666666666664
Afghanistan,2005,15.233175,0.4824333333333334
Afghanistan,2006,15.350133333333336,0.49359166666666665
Afghanistan,2007,15.370350000000002,0.47979166666666667
Afghanistan,2008,15.378750000000002,0.4843833333333333
Afghanistan,2009,15.365649999999999,0.4700333333333333
Afghanistan,2010,15.39873333333333,0.448975
Albania,1860,12.308708333333332,1.3734583333333332
Albania,1861,12.328166666666666,1.3389583333333333
Albania,1862,12.347575,1.3254083333333333
Albania,1863,12.383066666666668,1.335925
Albania,1864,12.361875000000001,1.2855166666666666
Albania,1865,12.370083333333334,1.2584833333333332
Albania,1866,12.444241666666667,1.1859583333333332
Albania,1867,12.511333333333333,1.154925
Albania,1868,12.634766666666668,1.1261166666666667
Albania,1869,12.620666666666668,1.1320333333333334
Albania,1870,12.5523,1.1140083333333333
Albania,1871,12.48725,1.063175
Albania,1872,12.522566666666666,1.0519250000000002
Albania,1873,12.491258333333334,0.9952500000000001
Albania,1874,12.5119,0.9554166666666667
Albania,1875,12.420916666666667,0.9256
Albania,1876,12.40645,0.9393499999999999
Albania,1877,12.380141666666667,0.9433833333333332
Albania,1878,12.36655,0.937275
Albania,1879,12.3456,0.9119999999999999
Albania,1880,12.376258333333334,0.8970333333333332
Albania,1881,12.392641666666666,0.8849750000000001
Albania,1882,12.3155,0.8309333333333333
Albania,1883,12.223375,0.8116249999999999
Albania,1884,12.210908333333334,0.833325
Albania,1885,12.3245,0.8301083333333332
