Year,LandAverageTemperatureRolling,LandAverageTemperatureUncertaintyRolling,AverageTemperatureRolling,AverageTemperatureUncertaintyRolling,HottestDate,LandMaxTemperature,LandMaxTemperatureUncertainty
1860,8.0709,0.786025,14.929750000000002,0.27620833333333333,1860-06-01,19.163,1.361
1861,8.037691666666666,0.763175,14.910633333333333,0.27285,1861-07-01,19.37,1.53
1862,7.983533333333334,0.7402416666666667,14.883991666666669,0.269975,1862-07-01,20.663,1.998
1863,7.9905333333333335,0.7315416666666666,14.882049999999998,0.273225,1863-08-01,18.408,1.931
1864,7.967841666666667,0.7166166666666667,14.8726,0.2743666666666667,1864-08-01,18.909,0.8740000000000001
1865,7.974549999999999,0.6941166666666667,14.870158333333332,0.275675,1865-08-01,19.111,1.74
1866,8.004175,0.6786416666666667,14.887925000000001,0.27826666666666666,1866-07-01,20.369,0.715
1867,8.071991666666667,0.6670166666666667,14.917966666666667,0.2808666666666667,1867-07-01,20.032,1.031
1868,8.086758333333332,0.651675,14.939508333333333,0.2806166666666667,1868-07-01,20.504,1.026
1869,8.104766666666666,0.643775,14.953066666666667,0.27915,1869-07-01,19.825,1.325
1870,8.128816666666667,0.6361916666666667,14.965208333333333,0.27641666666666664,1870-07-01,20.29,1.625
1871,8.155675,0.6278750000000001,14.985733333333332,0.27176666666666666,1871-07-01,19.837,1.035
1872,8.219199999999999,0.6178916666666667,15.013658333333334,0.26605,1872-07-01,19.705,1.105
1873,8.243125000000001,0.5981416666666667,15.025008333333336,0.256625,1873-07-01,19.974,0.769
1874,8.288116666666665,0.5822916666666667,15.031058333333334,0.249175,1874-07-01,19.82,1.046
1875,8.256291666666666,0.5612250000000001,15.023583333333335,0.2384583333333333,1875-07-01,20.534,0.727
1876,8.235083333333332,0.543975,15.008824999999998,0.22918333333333335,1876-07-01,19.855,0.715
1877,8.245408333333334,0.5260833333333333,15.031225000000001,0.22028333333333333,1877-07-01,20.733,0.62
1878,8.303591666666666,0.5139416666666666,15.057275,0.21397499999999997,1878-08-01,20.308,0.573
1879,8.276966666666667,0.5007166666666667,15.057166666666665,0.20795833333333333,1879-07-01,19.637,0.607
